words,p-val
bad,50.11454103979312
worst,45.25420714644768
great,-40.08859432456194
waste,33.48634497115611
awful,32.93905799354878
terrible,31.068997630929424
excellent,-30.383120436171605
best,-28.370492302792623
no,26.53202268155509
waste time,26.325328913553182
poor,25.89524751171146
horrible,25.690808272509898
boring,25.503909583166184
worse,25.50138678734988
nothing,25.36917211787618
minutes,25.097839997811217
wonderful,-24.541526410504616
even,24.341680275348743
stupid,23.5875150006469
plot,23.1691807267035
love,-22.69875213513614
acting,22.67400152267626
at all,22.026896896041855
script,21.588284835937905
crap,21.549804201738706
so bad,21.52771998401895
money,21.26786021595714
perfect,-20.72670274922341
amazing,-20.397941607101586
poorly,20.153236859071466
supposed,19.866537758454637
worst movie,19.81405576499993
well,-19.49904537391351
just,19.475248332584215
wasted,19.412148515194577
superb,-19.27731348833167
ridiculous,19.266770081427765
supposed to,19.245800965513233
also,-19.13802098079359
beautiful,-18.881004396648102
very,-18.581758094010155
avoid,18.494029842291834
lame,18.486128243051954
pathetic,18.376630373818728
brilliant,-18.332277486720983
annoying,18.165331447371514
could,18.036901070074098
movie,18.015072524688765
not even,17.884084058812686
favorite,-17.828163322409072
only,17.75838442501999
cheap,17.70158451836218
loved,-17.5868077103764
must see,-17.53466638405016
thing,17.332138306950405
pointless,17.276315765480454
bad acting,17.240527119288537
dull,17.05081994541287
why,16.795637670876303
badly,16.792767665934566
fantastic,-16.77418431572185
to be,16.70729014608139
life,-16.597501345148054
make,16.52456723768472
laughable,16.436624973405035
bad movie,16.39159582662053
mess,16.299323609275177
today,-16.163836457777215
there,16.147616280694166
save,16.092484699664926
oh,16.037911899896578
instead,15.984932104606278
very well,-15.844186400256113
couldn,15.76237603511192
fails,15.737316014294636
years,-15.726579307833141
heart,-15.695500029452313
any,15.669516554448135
highly,-15.541695511210555
worst movies,15.526782088381651
really bad,15.445110946129985
how bad,15.43986305748939
garbage,15.381269765990552
in,-15.30486414672451
to make,15.250075276904733
unless,15.249360015939626
as,-15.244449745786376
performance,-15.241944659944085
touching,-15.218547266043759
off,15.21424830259192
redeeming,15.096197162748163
don waste,15.059161675794476
always,-15.032782066201255
enjoyed,-15.014369148972067
performances,-14.995335769850307
predictable,14.873994666149507
beautifully,-14.750858383352792
worst film,14.739532574071603
both,-14.541299111016238
attempt,14.509574768180773
don,14.481571003373965
family,-14.475651381072153
looks like,14.440612181114918
there no,14.435527926430561
not funny,14.381488425393412
be,14.360591902128665
didn,14.346512357558234
looks,14.244958151850614
decent,14.213392069624216
world,-14.157824173268715
will,-14.115378324631886
definitely,-14.092219700216392
reason,14.068967971780932
10 10,-14.029816753684354
well worth,-13.889408278387371
highly recommend,-13.805946552146752
idea,13.786267091053265
different,-13.779719692923345
sit through,13.774050380535412
perfectly,-13.733484285323527
could been,13.676582972150044
outstanding,-13.663953717907338
job,-13.662064037487319
still,-13.65465792138518
least,13.64037370995013
nothing to,13.633681419582869
greatest,-13.588437389854004
as well,-13.544292283740985
sucks,13.53945619389235
very good,-13.536234161957518
not worth,13.495266781397772
or,13.435744864984994
unfortunately,13.412176268707562
lives,-13.341026627397271
wonderfully,-13.314450023910599
great movie,-13.2956534470755
hilarious,-13.278723981251442
bother,13.262162684003775
each,-13.19596413513669
young,-13.153554818668965
whatsoever,13.117826003864023
no sense,13.105415003185835
great job,-13.086341381241974
disappointing,13.057518711071937
half,12.97084756911717
excuse,12.966850434155786
would,12.962870963100096
sorry,12.94474216406886
worse than,12.942677398255968
strong,-12.935290252311425
even worse,12.92740174938197
weak,12.913392767706949
unique,-12.87238282409855
trash,12.815108025326674
terrific,-12.814157642658742
be worst,12.78562931327292
war,-12.783802503860601
anything,12.74982671430324
not,12.746956873736167
well done,-12.745045907419634
ever seen,12.677063762038289
well as,-12.675834434442411
unfunny,12.655534205434243
great film,-12.650483892946026
then,12.598223729697139
disappointment,12.582624997104016
fun,-12.526154761620923
powerful,-12.521508927823133
ok,12.50035301709975
mean,12.464085132122488
true,-12.42256457643419
absolutely no,12.39592084411402
dumb,12.309207042406019
highly recommended,-12.305629148030093
do,12.28176295954194
so,12.264739271489734
look like,12.234984127983404
bad as,12.1833131296403
rubbish,12.170332793668766
unbelievable,12.12276638756533
atrocious,12.102470846439923
all costs,12.076816024735503
but just,12.070542768557385
at least,12.066029674125868
shows,-12.051401636134488
no plot,12.04251027713613
should,12.04160703100679
gem,-12.026141521858523
dreadful,12.02095026185882
refreshing,-11.999908147453711
recommend,-11.992544520862
bad that,11.985485016870358
low,11.984539531414116
amateurish,11.962725393808215
wooden,11.962381119099337
especially,-11.942980124930685
very bad,11.927736768373116
looked,11.91745737718097
someone,11.91570500294308
bad movies,11.915419035219553
moving,-11.909666905823926
story,-11.892663167734309
enjoyable,-11.879260283565795
guy,11.854246847343921
painful,11.846887984910582
as bad,11.813030224552723
worst films,11.808272547670779
costs,11.802077068053949
don even,11.770887346723532
money on,11.752411808966725
masterpiece,-11.734738279038652
that bad,11.73097263375677
just plain,11.72494440758856
joke,11.705224762568639
incredible,-11.687799872042566
effects,11.656558115900218
tedious,11.650666306270526
fake,11.640353964021278
only good,11.631362441167093
with great,-11.61502330421654
actually,11.613355618251216
awesome,-11.589231977803394
bad but,11.558004279864427
attempt at,11.524825815602124
own,-11.50150120633022
like,11.48795610200361
there nothing,11.444060884759978
budget,11.442619680599217
acting bad,11.416051733145988
piece crap,11.406082722383621
wasting,11.404170743911894
dialogue,11.393771998873689
none,11.373900201411555
mediocre,11.363171351607265
trying,11.359932417267238
gives,-11.354786241020353
beauty,-11.327809404140595
flat,11.321578392689238
well written,-11.319963839815633
plain,11.294079844985957
waste money,11.24734645999948
write,11.228873005024179
insult,11.22559275407279
subtle,-11.223013981406265
wasn,11.220832752510967
uninteresting,11.20117160574967
classic,-11.134580719674167
music,-11.125542230068735
emotions,-11.066052259874061
seemed,11.049736424475785
lousy,11.02719835297058
brilliantly,-10.947714687759824
bunch,10.927444064773468
pile,10.906957908272119
funniest,-10.906227438731053
finest,-10.88862189534317
total,10.851919549451546
on dvd,-10.836305512469663
loved movie,-10.769128836396957
tried,10.762630633082445
failed,10.74111137035682
underrated,-10.727831362514317
to sit,10.72302526957637
enjoy,-10.70582438006295
bored,10.704203974693955
guess,10.69476292185605
cliche,10.685038257961152
simple,-10.684769494670732
performance as,-10.655919510335115
series,-10.65364174551188
role,-10.61856638889489
wrong,10.612753085780295
be funny,10.597153599073808
bad br,10.585349770671003
complete,10.578808711892535
only reason,10.578284473543436
insult to,10.569063003192943
love movie,-10.520770187848408
if,10.513479732088218
as if,10.509150590031272
complex,-10.496056266653294
realistic,-10.471105282144794
hour,10.452490400008985
fascinating,-10.448225684661258
stinker,10.418777410080073
completely,10.41577092762882
just bad,10.410029671601606
oscar,-10.403601235894339
bland,10.4003090831385
embarrassing,10.37707287913723
stunning,-10.317221567674641
better,10.304236662606753
pretty,10.27139829679774
captures,-10.257864447088682
recommended,-10.25764769126543
avoid at,10.245375607649171
terrible movie,10.236487177534261
lack,10.231351634697667
existent,10.229269125535925
unwatchable,10.211316813967445
human,-10.141779397961043
unconvincing,10.139553061892366
bad film,10.126662882806157
delightful,-10.12360465075884
rare,-10.106352928620097
been,10.105568003862064
would been,10.096694193128707
definitely worth,-10.078762052086972
first time,-10.067734493419975
many,-10.0620567188386
time money,10.049879862482014
can believe,10.026918675920918
non existent,10.026678566104932
not good,10.013266754187896
tears,-9.962621434637093
pretty bad,9.960925956202693
works,-9.957922609324942
painful to,9.953738753004773
hoping,9.943159552132121
problem,9.934781161282311
